,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Subtipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
306379,2016,21,Puebla,21160,Teotlalco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
306477,2016,21,Puebla,21161,Tepanco de López,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,1,0,0,0,0,0,0,0,0,0
306575,2016,21,Puebla,21162,Tepango de Rodríguez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
306673,2016,21,Puebla,21163,Tepatlaxco de Hidalgo,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,1,0,0
306771,2016,21,Puebla,21164,Tepeaca,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,2,6,2,3,0,2,1,1,3,0
306869,2016,21,Puebla,21165,Tepemaxalco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
306967,2016,21,Puebla,21166,Tepeojuma,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
307065,2016,21,Puebla,21167,Tepetzintla,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,0,0,0,0,0,0
307163,2016,21,Puebla,21168,Tepexco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,1,1,0,0,0,0,0
307261,2016,21,Puebla,21169,Tepexi de Rodríguez,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,1,0,0,0,0,0,0,0,0,0,0
307359,2016,21,Puebla,21170,Tepeyahualco,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,0,0,0,0,0,0,1,0,0,0,0,0
